"STATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00440766","1953-02-16",,,"0.00",,,"48","26","44",,,,,,
"USC00440766","1953-02-17",,,"0.00",,,"45","26","28",,,,,,
"USC00440766","1953-02-18",,,"0.00",,,"45","18","41",,,,,,
"USC00440766","1953-02-19",,,"0.00",,,"59","24","52",,,,,,
"USC00440766","1953-02-20",,,"0.49",,,"53","38","49",,,,,,
"USC00440766","1953-02-21",,,"0.64",,,"62","49","51",,,,,,
"USC00440766","1953-02-22",,,"0.00",,,"53","27","37",,,,,,
"USC00440766","1953-02-23",,,"0.00",,,"50","24","41",,,,,,
"USC00440766","1953-02-24",,,"0.05",,,"43","28","37",,,,,,
"USC00440766","1953-02-25",,,"0.00",,,"51","32","49",,,,,,
"USC00440766","1953-02-26",,,"0.00",,,"54","40","48",,,,,,
"USC00440766","1953-02-27",,,"0.00",,,"59","37","51",,,,,,
"USC00440766","1953-02-28",,,"0.00",,,"52","30","43",,,,,,
"USC00440766","1953-03-01",,,"0.00","0.0","0.0","44","28","35",,,,,,
"USC00440766","1953-03-02",,,"0.84",,"7.0","39","24","25",,,"    1",,,
"USC00440766","1953-03-03",,,"0.20",,"5.0","32","24","30",,,"    1",,,
"USC00440766","1953-03-04",,,"0.09","0.0","0.0","61","29","51",,,,,,
"USC00440766","1953-03-05",,,"0.00","0.0","0.0","52","27","46",,,,,,
"USC00440766","1953-03-06",,,"0.00","0.0","0.0","62","28","52",,,,,,
"USC00440766","1953-03-07",,,"0.00","0.0","0.0","61","33","56",,,,,,
"USC00440766","1953-03-08",,,"0.00","0.0","0.0","56","29","34",,,,,,
"USC00440766","1953-03-09",,,"0.03","0.0","0.0","50","21","49",,,,,,
"USC00440766","1953-03-10",,,"0.00","0.0","0.0","60","23","59",,,,,,
"USC00440766","1953-03-11",,,"0.30","0.0","0.0","59","34","37",,,,,,
"USC00440766","1953-03-12",,,"0.08","0.0","0.0","48","36","46",,,,,,
"USC00440766","1953-03-13",,,"0.12","0.0","0.0","64","46","60",,,,,,
"USC00440766","1953-03-14",,,"0.02","0.0","0.0","71","32","63","    1",,,,,
"USC00440766","1953-03-15",,,"0.36","0.0","0.0","71","55","58",,,,,,
"USC00440766","1953-03-16",,,"0.00","0.0","0.0","60","41","55",,,,,,
"USC00440766","1953-03-17",,,"0.00","0.0","0.0","67","35","61",,,,,,
"USC00440766","1953-03-18",,,"0.60","0.0","0.0","62","41","51",,,,,,
"USC00440766","1953-03-19",,,"0.00","0.0","0.0","61","43","55",,,,,,
"USC00440766","1953-03-20",,,"0.00","0.0","0.0","63","28","62",,,,,,
"USC00440766","1953-03-21",,,"0.00","0.0","0.0","65","37","51",,,,,,
"USC00440766","1953-03-22",,,"0.13","0.0","0.0","52","42","47","    1",,,,,
"USC00440766","1953-03-23",,,"0.26","0.0","0.0","59","47","56","    1",,,,,
"USC00440766","1953-03-24",,,"1.18","0.0","0.0","66","44","65",,,,,,
"USC00440766","1953-03-25",,,"0.04","0.0","0.0","69","35","35",,,,,,"    1"
"USC00440766","1953-03-26",,,"0.00","0.0","0.0","39","29","34",,,,,,
"USC00440766","1953-03-27",,,"0.00","0.0","0.0","42","30","42",,,,,,
"USC00440766","1953-03-28",,,"0.00","0.0","0.0","52","38","40",,,,,,
"USC00440766","1953-03-29",,,"0.00","0.0","0.0","44","35","38",,,,,,"    1"
"USC00440766","1953-03-30",,,"0.00","0.0","0.0","55","33","53",,,,,,
"USC00440766","1953-03-31",,,"0.00","0.0","0.0","71","41","63",,,,,,
"USC00440766","1953-04-01",,,"0.00","0.0","0.0","73","51","65",,,,,,
"USC00440766","1953-04-02",,,"0.00","0.0","0.0","68","46","46",,,,,,
"USC00440766","1953-04-03",,,"0.00","0.0","0.0","63","34","60",,,,,,
"USC00440766","1953-04-04",,,"0.00","0.0","0.0","62","41","60",,,,,,
"USC00440766","1953-04-05",,,"0.00","0.0","0.0","62","34","55",,,,,,
"USC00440766","1953-04-06",,,"0.39","0.0","0.0","56","44","47",,,,,,
"USC00440766","1953-04-07",,,"0.60","0.0","0.0","59","46","50",,,,,,
"USC00440766","1953-04-08",,,"0.00","0.0","0.0","71","33","65",,,,,,
"USC00440766","1953-04-09",,,"0.00","0.0","0.0","79","47","72",,,,,,
"USC00440766","1953-04-10",,,"0.00","0.0","0.0","74","51","66",,,,,,
"USC00440766","1953-04-11",,,"0.00","0.0","0.0","71","42","67",,,,,,
"USC00440766","1953-04-12",,,"0.06","0.0","0.0","70","46","60",,,,,,
"USC00440766","1953-04-13",,,"0.45","0.0","0.0","62","37","43",,,,,,
"USC00440766","1953-04-14",,,"0.00","0.0","0.0","55","33","48",,,,,,
"USC00440766","1953-04-15",,,"0.00","0.0","0.0","54","28","49",,,,,,
"USC00440766","1953-04-16",,,"0.29","0.0","0.0","53","37","38",,,,,,
"USC00440766","1953-04-17",,,"0.00","0.0","0.0","63","31","59",,,,,,
"USC00440766","1953-04-18",,,"0.14","0.0","0.0","61","43","50",,,,,,
"USC00440766","1953-04-19",,,"0.04","0.0","0.0","52","31","37",,,,,,
"USC00440766","1953-04-20",,,"0.02","0.0","0.0","41","27","34",,,,,,
"USC00440766","1953-04-21",,,"0.00","0.0","0.0","58","29","55",,,,,,
"USC00440766","1953-04-22",,,"0.00","0.0","0.0","68","27","63",,,,,,
"USC00440766","1953-04-23",,,"0.00","0.0","0.0","71","45","66",,,,,,
"USC00440766","1953-04-24",,,"0.00","0.0","0.0","76","52","72",,,,,,
"USC00440766","1953-04-25",,,"0.00","0.0","0.0","75","55","69",,,,,,
"USC00440766","1953-04-26",,,"0.15","0.0","0.0","71","50","57",,,,,,
"USC00440766","1953-04-27",,,"0.04","0.0","0.0","59","38","42",,,,,,
"USC00440766","1953-04-28",,,"0.00","0.0","0.0","71","37","65",,,,,,
"USC00440766","1953-04-29",,,"0.00","0.0","0.0","80","44","70",,,,,,
"USC00440766","1953-04-30",,,"0.55","0.0","0.0","74","55","56",,,,,,
"USC00440766","1953-05-01",,,"0.00","0.0","0.0","82","46","69",,,,,,
"USC00440766","1953-05-02",,,"0.37","0.0","0.0","79","54","76",,,,,,
"USC00440766","1953-05-03",,,"0.00","0.0","0.0","78","47","70",,,,,,
"USC00440766","1953-05-04",,,"0.00","0.0","0.0","75","55","70",,,,,,
"USC00440766","1953-05-05",,,"0.03","0.0","0.0","78","60","66",,,,,,
"USC00440766","1953-05-06",,,"0.87","0.0","0.0","71","58","60",,,,,,
"USC00440766","1953-05-07",,,"0.42","0.0","0.0","69","49","63",,,,,,
"USC00440766","1953-05-08",,,"0.00","0.0","0.0","66","45","62",,,,,,
"USC00440766","1953-05-09",,,"0.00","0.0","0.0","70","46","65",,,,,,
"USC00440766","1953-05-10",,,"0.00","0.0","0.0","81","46","76",,,,,,
"USC00440766","1953-05-11",,,"0.00","0.0","0.0","84","49","81",,,,,,
"USC00440766","1953-05-12",,,"0.00","0.0","0.0","85","49","75",,,,,,
"USC00440766","1953-05-13",,,"0.17","0.0","0.0","81","53","74",,,,,,
"USC00440766","1953-05-14",,,"0.00","0.0","0.0","80","60","72",,,,,,
"USC00440766","1953-05-15",,,"0.02","0.0","0.0","79","59","71",,,,,,
"USC00440766","1953-05-16",,,"0.10","0.0","0.0","77","55","69",,,,,,
"USC00440766","1953-05-17",,,"0.00","0.0","0.0","77","60","70",,,,,,
"USC00440766","1953-05-18",,,"0.45","0.0","0.0","76","61","61",,,,,,
"USC00440766","1953-05-19",,,"1.07","0.0","0.0","67","57","60",,,,,,
"USC00440766","1953-05-20",,,"0.62","0.0","0.0","78","53","71",,,,,,
"USC00440766","1953-05-21",,,"0.00","0.0","0.0","79","56","73",,,,,,
"USC00440766","1953-05-22",,,"0.00","0.0","0.0","85","57","80",,,,,,
"USC00440766","1953-05-23",,,"0.00","0.0","0.0","87","70","76",,,,,,
"USC00440766","1953-05-24",,,"0.06","0.0","0.0","81","63","79",,,,,,
"USC00440766","1953-05-25",,,"0.00","0.0","0.0","89","64","86",,,,,,
"USC00440766","1953-05-26",,,"0.00","0.0","0.0","88","67","77",,,,,,"    1"
"USC00440766","1953-05-27",,,"0.00","0.0","0.0","78","60","68",,,,,,
"USC00440766","1953-05-28",,,"0.00","0.0","0.0","76","43","72",,,,,,
"USC00440766","1953-05-29",,,"0.00","0.0","0.0","80","45","78",,,,,,
"USC00440766","1953-05-30",,,"0.00","0.0","0.0","87","55","82",,,,,,
"USC00440766","1953-05-31",,,"0.07","0.0","0.0","87","69","80",,,,,,
"USC00440766","1953-06-01",,,"0.00","0.0","0.0","81","59","65",,,,,,
"USC00440766","1953-06-02",,,"0.00","0.0","0.0","79","41","73",,,,,,
"USC00440766","1953-06-03",,,"0.00","0.0","0.0","80","42","78",,,,,,
"USC00440766","1953-06-04",,,"0.00","0.0","0.0","85","48","79",,,,,,
"USC00440766","1953-06-05",,,"0.00","0.0","0.0","87","52","85",,,,,,
"USC00440766","1953-06-06",,,"0.17","0.0","0.0","85","57","73",,"    1",,,,
"USC00440766","1953-06-07",,,"0.98","0.0","0.0","86","63","80",,,,,,
"USC00440766","1953-06-08",,,"0.11","0.0","0.0","86","62","81",,"    1",,,,
"USC00440766","1953-06-09",,,"0.37","0.0","0.0","92","64","85",,"    1",,,,
"USC00440766","1953-06-10",,,"0.53","0.0","0.0","90","59","71",,"    1",,,,
"USC00440766","1953-06-11",,,"0.00","0.0","0.0","82","58","78",,"    1",,,,
"USC00440766","1953-06-12",,,"0.00","0.0","0.0","87","58","80",,,,,,
"USC00440766","1953-06-13",,,"0.02","0.0","0.0","81","62","67",,"    1",,,,
"USC00440766","1953-06-14",,,"0.86","0.0","0.0","76","55","65",,"    1",,,,
"USC00440766","1953-06-15",,,"0.00","0.0","0.0","68","54",,,,,,,
"USC00440766","1953-06-16",,,"0.00","0.0","0.0","75","55","61",,,,,,
"USC00440766","1953-06-17",,,"1.01","0.0","0.0","82","61","66",,"    1",,,,
"USC00440766","1953-06-18",,,"0.00","0.0","0.0","80","58","67",,,,,,
"USC00440766","1953-06-19",,,"0.00","0.0","0.0","83","60","65",,,,,,
"USC00440766","1953-06-20",,,"0.00","0.0","0.0","88","61","71",,,,,,
"USC00440766","1953-06-21",,,"0.00","0.0","0.0","92","65","74",,,,,,
"USC00440766","1953-06-22",,,"0.18","0.0","0.0","86","60","70",,"    1",,,,
"USC00440766","1953-06-23",,,"0.01","0.0","0.0","88","57","67",,,,,,
"USC00440766","1953-06-24",,,"0.00","0.0","0.0","89","56","67",,,,,,
"USC00440766","1953-06-25",,,"0.00","0.0","0.0","85","59","70",,,,,,
"USC00440766","1953-06-26",,,"0.00","0.0","0.0","87","62","71",,,,,,
"USC00440766","1953-06-27",,,"0.00","0.0","0.0","87","62","72",,"    1",,,,
"USC00440766","1953-06-28",,,"0.00","0.0","0.0","83","64","69",,"    1",,,,
"USC00440766","1953-06-29",,,"0.73","0.0","0.0","84","66","70",,"    1",,,,
"USC00440766","1953-06-30",,,"0.78","0.0","0.0","88","65","72",,,,,,
"USC00440766","1953-07-01",,,"0.00","0.0","0.0","91","62","70","    1",,,,,
"USC00440766","1953-07-02",,,"0.00","0.0","0.0","90","64","73",,"    1",,,,
"USC00440766","1953-07-03",,,"0.72","0.0","0.0","86","65","71",,"    1",,,,
"USC00440766","1953-07-04",,,"0.00","0.0","0.0","87","63","70",,"    1",,,,
"USC00440766","1953-07-05",,,"0.00","0.0","0.0","84","62","70",,,,,,
"USC00440766","1953-07-06",,,"0.32","0.0","0.0","84","66","68",,"    1",,,,
"USC00440766","1953-07-07",,,"0.30","0.0","0.0","83","65","70",,"    1",,,,
"USC00440766","1953-07-08",,,"0.01","0.0","0.0","88","67","69",,,,,,
"USC00440766","1953-07-09",,,"0.00","0.0","0.0","83","63","68",,,,,,
"USC00440766","1953-07-10",,,"0.00","0.0","0.0","77","52","64",,,,,,
"USC00440766","1953-07-11",,,"0.00","0.0","0.0","76","50","62",,,,,,
"USC00440766","1953-07-12",,,"0.00","0.0","0.0","77","46","57",,,,,,
"USC00440766","1953-07-13",,,"0.00","0.0","0.0","79","49","60",,,,,,
"USC00440766","1953-07-14",,,"0.00","0.0","0.0","83","52","65",,,,,,
"USC00440766","1953-07-15",,,"0.00","0.0","0.0","86","59","66",,,,,,
"USC00440766","1953-07-16",,,"0.00","0.0","0.0","85","62","69",,,,,,
"USC00440766","1953-07-17",,,"0.00","0.0","0.0","88","62","71",,,,,,
"USC00440766","1953-07-18",,,"0.00","0.0","0.0","89","62","72",,,,,,
"USC00440766","1953-07-19",,,"0.07","0.0","0.0","86","64","70",,,,,,
"USC00440766","1953-07-20",,,"0.00","0.0","0.0","90","59","66",,,,,,
"USC00440766","1953-07-21",,,"0.00","0.0","0.0","94","60","68",,,,,,
"USC00440766","1953-07-22",,,"0.00","0.0","0.0","85","68","74",,"    1",,,,
"USC00440766","1953-07-23",,,"0.44","0.0","0.0","86","67","69",,,,,,
"USC00440766","1953-07-24",,,"0.00","0.0","0.0","88","58","68",,,,,,
"USC00440766","1953-07-25",,,"0.00","0.0","0.0","85","58","68",,,,,,
"USC00440766","1953-07-26",,,"0.00","0.0","0.0","87","59","68",,,,,,
"USC00440766","1953-07-27",,,"0.00","0.0","0.0","89","51","60",,,,,,
"USC00440766","1953-07-28",,,"0.00","0.0","0.0","91","58","66",,,,,,
"USC00440766","1953-07-29",,,"0.00","0.0","0.0","94","62","71",,,,,,
"USC00440766","1953-07-30",,,"0.00","0.0","0.0","94","65","73",,,,,,
"USC00440766","1953-07-31",,,"0.00","0.0","0.0","95","69","74",,,,,,
"USC00440766","1953-08-01",,,"0.00","0.0","0.0","92","68","74",,,,,,
"USC00440766","1953-08-02",,,"0.09","0.0","0.0","92","66","71",,"    1",,,,
"USC00440766","1953-08-03",,,"0.00","0.0","0.0","91","64","70",,"    1",,,,
"USC00440766","1953-08-04",,,"0.67","0.0","0.0","87","68","70",,"    1",,,,
"USC00440766","1953-08-05",,,"0.02","0.0","0.0","87","70","75",,,,,,
"USC00440766","1953-08-06",,,"0.00","0.0","0.0","76","65","71",,,,,,
"USC00440766","1953-08-07",,,"0.00","0.0","0.0","77","63","65","    1",,,,,
"USC00440766","1953-08-08",,,"0.98","0.0","0.0","84","63","66",,"    1",,,,
"USC00440766","1953-08-09",,,"0.30","0.0","0.0","75","59","64",,"    1",,,,
"USC00440766","1953-08-10",,,"0.03","0.0","0.0","80","53","62",,,,,,
"USC00440766","1953-08-11",,,"0.00","0.0","0.0","85","54","60","    1",,,,,
"USC00440766","1953-08-12",,,"0.00","0.0","0.0","85","57","65",,,,,,
"USC00440766","1953-08-13",,,"0.00","0.0","0.0","86","59","66",,,,,,
"USC00440766","1953-08-14",,,"0.00","0.0","0.0","86","56","66",,,,,,
"USC00440766","1953-08-15",,,"0.00","0.0","0.0","87","55","65",,,,,,
"USC00440766","1953-08-16",,,"0.00","0.0","0.0","92","56","67",,"    1",,,,
"USC00440766","1953-08-17",,,"0.00","0.0","0.0","84","67","68",,,,,,
"USC00440766","1953-08-18",,,"0.00","0.0","0.0","80","56","66",,,,,,
"USC00440766","1953-08-19",,,"0.00","0.0","0.0","76","60","63",,,,,,
"USC00440766","1953-08-20",,,"0.05","0.0","0.0","82","54","60",,,,,,
"USC00440766","1953-08-21",,,"0.00","0.0","0.0","81","55","61",,,,,,
"USC00440766","1953-08-22",,,"0.00","0.0","0.0","81","52","58",,,,,,
"USC00440766","1953-08-23",,,"0.00","0.0","0.0","84","56","62",,,,,,
"USC00440766","1953-08-24",,,"0.04","0.0","0.0","87","53","58",,,,"    1",,
"USC00440766","1953-08-25",,,"0.00","0.0","0.0","88","51","59",,,,,,
"USC00440766","1953-08-26",,,"0.00","0.0","0.0","91","52","59",,,,,,
"USC00440766","1953-08-27",,,"0.00","0.0","0.0","92","54","62",,,,,,
"USC00440766","1953-08-28",,,"0.00","0.0","0.0","93","55","63",,,,,,
"USC00440766","1953-08-29",,,"0.00","0.0","0.0","94","55","64",,,,,,
"USC00440766","1953-08-30",,,"0.00","0.0","0.0","94","60","66",,,,,,
"USC00440766","1953-08-31",,,"0.00","0.0","0.0","95","62","68",,,,,,
"USC00440766","1953-09-01",,,"0.00","0.0","0.0","95","60","67",,,,,,
"USC00440766","1953-09-02",,,"0.00","0.0","0.0","96","57","65",,,,,,
"USC00440766","1953-09-03",,,"0.00","0.0","0.0","95","61","67",,,,,,
"USC00440766","1953-09-04",,,"0.00","0.0","0.0","84","67","73",,,,,,
"USC00440766","1953-09-05",,,"0.39","0.0","0.0","79","68","70",,,,,,
"USC00440766","1953-09-06",,,"0.33","0.0","0.0","79","56","57",,,,,,
"USC00440766","1953-09-07",,,"0.02","0.0","0.0","79","49","57",,,,,,
"USC00440766","1953-09-08",,,"0.00","0.0","0.0","77","46","54",,,,,,
"USC00440766","1953-09-09",,,"0.00","0.0","0.0","75","46","53",,,,,,
"USC00440766","1953-09-10",,,"0.00","0.0","0.0","71","42","51",,,,,,
"USC00440766","1953-09-11",,,"0.00","0.0","0.0","82","44","51",,,,,,
"USC00440766","1953-09-12",,,"0.00","0.0","0.0","89","51","64",,,,,,
"USC00440766","1953-09-13",,,"0.13","0.0","0.0","77","51","52",,"    1",,,,
"USC00440766","1953-09-14",,,"0.00","0.0","0.0","76","36","46",,,,,,
"USC00440766","1953-09-15",,,"0.00","0.0","0.0","86","45","55",,,,,,
"USC00440766","1953-09-16",,,"0.00","0.0","0.0","83","51","58",,,,,,
"USC00440766","1953-09-17",,,"0.00","0.0","0.0","84","46","55",,,,,,
"USC00440766","1953-09-18",,,"0.00","0.0","0.0","80","55","61",,,,,,
"USC00440766","1953-09-19",,,"0.00","0.0","0.0","78","61","64",,,,,,
"USC00440766","1953-09-20",,,"0.30","0.0","0.0","68","61","62",,,,,,
"USC00440766","1953-09-21",,,"0.14","0.0","0.0","78","59","61",,,,,,
"USC00440766","1953-09-22",,,"0.00","0.0","0.0","67","40","49",,,,,,
"USC00440766","1953-09-23",,,"0.00","0.0","0.0","69","36","43",,,,,,
"USC00440766","1953-09-24",,,"0.00","0.0","0.0","71","39","47",,,,,,
"USC00440766","1953-09-25",,,"0.00","0.0","0.0","67","45","51",,,,,,
"USC00440766","1953-09-26",,,"0.00","0.0","0.0","75","51","56",,,,,,
"USC00440766","1953-09-27",,,"0.26","0.0","0.0","79","56","61",,,,,,
"USC00440766","1953-09-28",,,"0.00","0.0","0.0","85","53","60",,,,,,
"USC00440766","1953-09-29",,,"0.00","0.0","0.0","91","43","50",,,,,,
"USC00440766","1953-09-30",,,"0.00","0.0","0.0","90","46","53","    1",,,,,
"USC00440766","1953-10-01",,,"0.00","0.0","0.0","87","51","56","    1",,,,,
"USC00440766","1953-10-02",,,"0.00","0.0","0.0","85","55","65",,,,,,
"USC00440766","1953-10-03",,,"0.00","0.0","0.0","80","43","51",,,,,,
"USC00440766","1953-10-04",,,"0.00","0.0","0.0","82","40","53",,,,,,
"USC00440766","1953-10-05",,,"0.00","0.0","0.0","83","44","50","    1",,,,,
"USC00440766","1953-10-06",,,"0.00","0.0","0.0","63","50","58",,,,,,
"USC00440766","1953-10-07",,,"0.00","0.0","0.0","59","40","46",,,,,,
"USC00440766","1953-10-08",,,"0.00","0.0","0.0","66","27","34",,,,,,
