Function,Documentation,Signature,Return Type,Example Usage,Library
Row,A widget that displays its children in a horizontal array.,"Row({Key? key, MainAxisAlignment mainAxisAlignment = MainAxisAlignment.start, ...})",Widget,"Row(children: [Icon(Icons.star), Text('Star')])",flutter:widgets
Column,A widget that displays its children in a vertical array.,"Column({Key? key, MainAxisAlignment mainAxisAlignment = MainAxisAlignment.start, ...})",Widget,"Column(children: [Text('Item 1'), Text('Item 2')])",flutter:widgets
Expanded,"A widget that expands a child of a Row, Column, or Flex.","Expanded({Key? key, int flex = 1, @required Widget child})",Widget,Expanded(child: Text('Expanded Text')),flutter:widgets
Positioned,A widget that controls where a child of a Stack is positioned.,"Positioned({Key? key, double? top, double? left, ...})",Widget,"Positioned(top: 10, left: 10, child: Text('Positioned Text'))",flutter:widgets
DropdownButton,A material design button for selecting from a list of items.,"DropdownButton({Key? key, @required List<DropdownMenuItem<T>> items, T? value, ...})",Widget,"DropdownButton<String>(items: ['Option 1', 'Option 2'].map((String value) {return DropdownMenuItem<String>(value: value, child: Text(value));}).toList(), onChanged: (_) {}),",flutter:material
FlatButton,A Material Design flat button.,"FlatButton({Key? key, @required VoidCallback onPressed, ...})",Widget,"FlatButton(onPressed: () {}, child: Text('Flat Button'))",flutter:material
CircleAvatar,A circle that represents a user.,"CircleAvatar({Key? key, Widget? child, Color? backgroundColor, ...})",Widget,"CircleAvatar(backgroundColor: Colors.blue, child: Text('AB'))",flutter:widgets
Divider,"A one logical pixel thick horizontal line, with padding on either side.","Divider({Key? key, double? height, double? thickness, ...})",Widget,Divider(color: Colors.blue),flutter:material
Checkbox,A Material Design checkbox.,"Checkbox({Key? key, @required bool? value, @required ValueChanged<bool?>? onChanged, ...})",Widget,"Checkbox(value: true, onChanged: (value) {})",flutter:material
TextField,A material design text field.,"TextField({Key? key, TextEditingController? controller, ...})",Widget,TextField(decoration: InputDecoration(labelText: 'Enter text')),flutter:material
Slider,A Material Design slider.,"Slider({Key? key, @required double value, @required ValueChanged<double>? onChanged, ...})",Widget,"Slider(value: 0.5, onChanged: (double value) {})",flutter:material
Switch,A Material Design switch.,"Switch({Key? key, @required bool value, @required ValueChanged<bool>? onChanged, ...})",Widget,"Switch(value: true, onChanged: (bool value) {})",flutter:material
Card,A Material Design card.,"Card({Key? key, bool? elevated = true, ...})",Widget,Card(child: Text('Card Content')),flutter:material
Tooltip,A material design tooltip.,"Tooltip({Key? key, @required String message, Widget? child, ...})",Widget,"Tooltip(message: 'This is a tooltip', child: Icon(Icons.info))",flutter:material
DataTable,A material design data table.,"DataTable({Key? key, @required List<DataColumn> columns, List<DataRow>? rows, ...})",Widget,"DataTable(columns: [DataColumn(label: Text('Name')), DataColumn(label: Text('Age'))], rows: [])",flutter:material
LinearProgressIndicator,A material design linear progress indicator.,"LinearProgressIndicator({Key? key, double? value, ...})",Widget,LinearProgressIndicator(value: 0.5),flutter:material
TabBar,A Material Design widget that displays a horizontal row of tabs.,"TabBar({Key? key, @required List<Tab> tabs, ...})",Widget,"TabBar(tabs: [Tab(text: 'Tab 1'), Tab(icon: Icon(Icons.star))])",flutter:material
Drawer,A Material Design panel that slides in horizontally from the edge of a Scaffold.,"Drawer({Key? key, Widget? child, ...})",Widget,Drawer(child: ListView(children: [ListItem(title: Text('Item 1'))])),flutter:material
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
